Cores,Frequency,L2cache,FSB,Mult.,Voltage,TDP,Socket,Partnumber(s),GPUfrequency,I/O bus,Memory,Burst,GPUmodel,Connectivity,SDP,Model Number,Front Side Bus,Multiplier,Mult,L2 Cache,Turbo,L3cache,Turbo Boostall-core/2.0(/max. 3.0),Atom (ULV),Atom (ULV).1,Unnamed: 2,Feature size,Unnamed: 4,x86,x86.1,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Base / Boost / TVB Clocks (GHz),GPU EU,GPU Max freq,Price,Model number,Clock speed,Cache,Cache.1,FSB speed,Threadsper core,TDP (W),Cache.2,Price (USD),Clock speed.1,QuickPath,Freq. (GHz),FSB (MHz),Voltage (V),Freq.,Power,Power.1,Unnamed: 17,Unnamed: 18,Unnamed: 19,Freq. (MHz),L1cache,Model numberClock speed,sSpec number,Front-side bus,Clock multiplier,Voltage range,Part number(s),Core stepping,64-bit,FrqGHz,FSBMT/s,VT-x,P-core (performance),P-core (performance).1,P-core (performance).2,P-core (performance).3,E-core (efficiency),E-core (efficiency).1,E-core (efficiency).2,E-core (efficiency).3
4.0,2.2608191223688907,1.0,,,,66.03544956493715,188.0,PMB8016.P20,600 MHz,94.0,"1×32 LPDDR2/3 1066, 2×16 DDR3/DDR3L 1333",1.2 GHz,71.0,"WiFi, Bluetooth, GPS",2 W,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,1.0,,,,66.03544956493715,78.0,PMB8018.P10 PMB8018.P20 PMB8018.P10,600 MHz,94.0,"1×32 LPDDR2/3 1066, 2×16 DDR3/DDR3L 1333",1.1 GHz,71.0,"2G/3G, GPS, Bluetooth, WiFi",2 W,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,1.0,,,,66.03544956493715,188.0,,600 MHz,94.0,"1×32 LPDDR2/3 1066, 2×16 DDR3/DDR3L 1333",1.2 GHz,71.0,"2G/3G, GPS, Bluetooth, WiFi",2 W,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,1.0,,,,66.03544956493715,78.0,PMB8016T.P20,600 MHz,94.0,"1×32 LPDDR2/3 1066, 2×16 DDR3/DDR3L 1333",1.1 GHz,71.0,"WiFi, Bluetooth, GPS",2 W,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,1.0,,,,66.03544956493715,188.0,PMB8018T.P20,600 MHz,94.0,"1×32 LPDDR2/3 1066, 2×16 DDR3/DDR3L 1333",1.1 GHz,71.0,"2G/3G, GPS, Bluetooth, WiFi",2 W,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.2,1.0,,,,66.03544956493715,78.0,,456 MHz,94.0,1×32 LPDDR2/3 1066,1.4 GHz,72.0,WiFi only,2 W,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.2,1.0,,,,66.03544956493715,78.0,PMB8020.P20,456 MHz,94.0,1×32 LPDDR2/3 1066,1.4 GHz,72.0,"2G/3G/4G LTE, GPS, Bluetooth, WiFi",2 W,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.2,0.512,,,1.1125–1.5 V,3.0,49.0,AY80609007296AA,400 MHz,39.0,1 × DDR2-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.5,0.512,,,1.1125–1.5 V,3.0,49.0,AY80609007293AA,400 MHz,39.0,1 × DDR2-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.2,1.0,,,0.3–1.2 V,66.03544956493715,78.0,DG8065101533700,300 MHz,94.0,2 × LPDDR2-1066,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
